year,ndwi
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,0.189
2013,0.143
2013,0.443
2013,
2013,
2013,0.21
2013,-0.133
2013,-0.01
2013,
2013,
2013,
2013,0.013
2013,-0.018
2013,
2013,-0.028
2013,0.151
2013,0.392
2013,
2013,
2013,-0.203
2013,
2013,
2013,-0.141
2013,-0.101
2013,
2013,
2013,-0.087
2013,
2013,-0.181
2013,
2013,0.098
2013,
2013,
2013,
2013,-0.149
2013,
2013,-0.044
2013,
2013,
2013,
2013,0.523
2013,
2013,-0.125
2013,
2013,
2013,-0.054
2013,0.012
2013,
2013,-0.13
2013,
2013,
2013,0.054
2013,0.261
2013,-0.073
2013,-0.055
2013,-0.015
2013,0.078
2013,-0.101
2013,-0.02
2013,-0.136
2013,
2013,-0.155
2013,
2013,0.032
2013,-0.004
2013,
2013,-0.171
2013,
2013,-0.128
2013,0.055
2013,0.16
2013,0.004
2013,-0.058
2013,-0.082
2013,0.001
2013,
2013,
2013,
2013,
2013,0.075
2013,0.001
2013,-0.074
2013,-0.158
2013,
2013,-0.034
2013,-0.071
2013,-0.037
2013,-0.028
2013,-0.185
2013,-0.152
2013,
2013,0.047
2013,0.169
2013,0.004
2013,-0.078
2013,-0.137
2013,-0.138
2013,0.009
2013,
2013,-0.18
2013,
2013,
2013,0.022
2013,0.129
2013,0.037
2013,-0.072
2013,-0.184
2013,-0.068
2013,
2013,-0.133
2013,-0.028
2013,-0.042
2013,-0.174
2013,-0.156
2013,-0.125
2013,0.023
2013,0.151
2013,-0.013
2013,
2013,-0.173
2013,-0.084
2013,
2013,
2013,-0.018
2013,-0.074
2013,-0.112
2013,0.016
2013,0.106
2013,-0.002
2013,
2013,-0.207
2013,
2013,
2013,-0.141
2013,-0.197
2013,-0.166
2013,
2013,
2013,0.143
2013,
2013,-0.212
2013,-0.084
2013,0.089
2013,-0.145
2013,
2013,
2013,-0.198
2013,-0.162
2013,-0.135
2013,0.031
2013,0.161
2013,-0.078
2013,-0.092
2013,-0.205
2013,-0.078
2013,0.093
2013,-0.203
2013,-0.167
2013,-0.126
2013,
2013,0.178
2013,
2013,0.709
2013,
2013,-0.016
2013,-0.028
2013,
2013,
2013,
2013,
2013,
2013,
2013,0.181
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,-0.066
2014,-0.026
2014,0.206
2014,-0.144
2014,-0.011
2014,
2014,-0.126
2014,-0.113
2014,-0.075
2014,0.108
2014,
2014,-0.105
2014,0.027
2014,0.041
2014,-0.159
2014,
2014,
2014,
2014,0.309
2014,
2014,
2014,
2014,-0.077
2014,-0.055
2014,
2014,-0.091
2014,
2014,-0.087
2014,
2014,0.188
2014,-0.137
2014,-0.081
2014,
2014,
2014,-0.029
2014,
2014,-0.109
2014,-0.1
2014,
2014,0.004
2014,
2014,-0.142
2014,
2014,0.061
2014,-0.124
2014,-0.024
2014,
2014,-0.15
2014,-0.125
2014,
2014,-0.004
2014,0.137
2014,-0.167
2014,-0.098
2014,
2014,-0.099
2014,-0.037
2014,-0.133
2014,-0.016
2014,0.098
2014,-0.036
2014,-0.061
2014,-0.165
2014,-0.075
2014,0.018
2014,-0.164
2014,
2014,
2014,-0.015
2014,
2014,-0.012
2014,-0.067
2014,
2014,
2014,-0.006
2014,-0.103
2014,-0.125
2014,-0.019
2014,0.073
2014,
2014,-0.179
2014,
2014,
2014,-0.129
2014,-0.121
2014,-0.008
2014,-0.071
2014,-0.125
2014,-0.085
2014,0.006
2014,-0.16
2014,
2014,-0.01
2014,-0.069
2014,-0.179
2014,
2014,
2014,-0.164
2014,
2014,-0.016
2014,-0.074
2014,-0.17
2014,
2014,0.034
2014,-0.145
2014,-0.021
2014,
2014,-0.092
2014,
2014,-0.035
2014,
2014,-0.142
2014,-0.143
2014,-0.181
2014,
2014,0.049
2014,-0.132
2014,-0.073
2014,-0.056
2014,
2014,-0.101
2014,0.247
2014,
2014,
2014,-0.187
2014,-0.071
2014,0.108
2014,-0.096
2014,-0.003
2014,0.02
2014,-0.11
2014,-0.093
2014,0
2014,
2014,0.152
2014,-0.086
2014,
2014,0.013
2014,0.045
2014,0.245
2014,-0.111
2014,0.073
2014,0.205
2014,-0.092
2014,-0.104
2014,
2014,
2014,
2014,
2014,
2014,
2014,0.473
2014,
2014,
2014,
2014,
2014,0.3
2014,
2014,
2014,
2014,
2014,0.303
2014,0.23
2014,
2014,0.041
2015,
2015,
2015,
2015,
2015,
2015,
2015,0.207
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,0.269
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,0.222
2015,-0.055
2015,-0.123
2015,
2015,
2015,0.655
2015,
2015,0.388
2015,0.459
2015,-0.032
2015,-0.142
2015,0.424
2015,0.084
2015,-0.008
2015,-0.008
2015,-0.108
2015,0.11
2015,0.132
2015,0.276
2015,
2015,
2015,-0.172
2015,-0.097
2015,0.049
2015,-0.121
2015,0.137
2015,-0.067
2015,-0.113
2015,-0.081
2015,0.063
2015,
2015,-0.092
2015,-0.111
2015,-0.067
2015,-0.1
2015,-0.017
2015,0.026
2015,-0.06
2015,-0.057
2015,0.081
2015,-0.087
2015,-0.041
2015,0.031
2015,0.018
2015,0.021
2015,0.014
2015,0.006
2015,0.079
2015,0.273
2015,-0.017
2015,-0.07
2015,-0.096
2015,-0.038
2015,0.02
2015,-0.084
2015,-0.006
2015,-0.011
2015,-0.07
2015,-0.051
2015,0.016
2015,0.032
2015,0.136
2015,
2015,-0.1
2015,-0.041
2015,0.019
2015,-0.108
2015,-0.029
2015,-0.02
2015,-0.101
2015,-0.041
2015,-0.1
2015,0
2015,0.136
2015,-0.003
2015,-0.069
2015,-0.134
2015,-0.049
2015,0.041
